author,authorName
http://www.gra.fo/resource/36757541700,http://sdm_lab2/Qin%20X.
http://www.gra.fo/resource/36760594500,http://sdm_lab2/Diaz%20M.
http://www.gra.fo/resource/36895320900,http://sdm_lab2/Hamada%20K.
http://www.gra.fo/resource/37020571500,http://sdm_lab2/Xu%20F.
http://www.gra.fo/resource/37665240000,http://sdm_lab2/Lazhar%20R.F.
http://www.gra.fo/resource/42262495200,http://sdm_lab2/Porobic%20D.
http://www.gra.fo/resource/43061445600,http://sdm_lab2/Reps%20J.M.
http://www.gra.fo/resource/50861161100,http://sdm_lab2/Barekatain%20B.
http://www.gra.fo/resource/53877987000,http://sdm_lab2/Nazar%20R.
http://www.gra.fo/resource/53983313300,http://sdm_lab2/Tao%20J.
http://www.gra.fo/resource/53986322900,http://sdm_lab2/Hamdi%20S.
http://www.gra.fo/resource/54391653200,http://sdm_lab2/Santos%20L.
http://www.gra.fo/resource/54956491600,http://sdm_lab2/Girard%20J.M.
http://www.gra.fo/resource/55004896900,http://sdm_lab2/Vipin%20K.
http://www.gra.fo/resource/55042923700,http://sdm_lab2/Santhanavijayan%20A.
http://www.gra.fo/resource/55098049500,http://sdm_lab2/Dobbs%20M.
http://www.gra.fo/resource/55103480700,http://sdm_lab2/Shen%20X.
http://www.gra.fo/resource/55176260700,http://sdm_lab2/Ismagilova%20A.S.
http://www.gra.fo/resource/55190726200,http://sdm_lab2/Bala%20P.S.
http://www.gra.fo/resource/55193087000,http://sdm_lab2/Karyono%20K.
http://www.gra.fo/resource/55205036200,http://sdm_lab2/Moon%20S.
http://www.gra.fo/resource/55252582600,http://sdm_lab2/Tombari%20A.
http://www.gra.fo/resource/55258509400,http://sdm_lab2/Dign%C3%B6s%20A.
http://www.gra.fo/resource/55265130000,http://sdm_lab2/Gu%20K.
http://www.gra.fo/resource/55267572300,http://sdm_lab2/Jung%20J.
http://www.gra.fo/resource/55318683200,http://sdm_lab2/Akiwate%20G.
http://www.gra.fo/resource/55335280000,http://sdm_lab2/Mars%20A.
http://www.gra.fo/resource/55336403500,http://sdm_lab2/Panda%20A.
http://www.gra.fo/resource/55356190900,http://sdm_lab2/Dey%20N.
http://www.gra.fo/resource/55364108400,http://sdm_lab2/Yang%20W.
http://www.gra.fo/resource/55369552500,http://sdm_lab2/Severeyn%20E.
http://www.gra.fo/resource/55417848300,http://sdm_lab2/Goel%20A.
http://www.gra.fo/resource/55440346200,http://sdm_lab2/Guo%20L.
http://www.gra.fo/resource/55466824600,http://sdm_lab2/Le%20Clainche%20S.
http://www.gra.fo/resource/55475208200,http://sdm_lab2/Yang%20F.
http://www.gra.fo/resource/55496671400,http://sdm_lab2/Akkad%20N.E.
http://www.gra.fo/resource/55500178900,http://sdm_lab2/Huang%20X.
http://www.gra.fo/resource/55513038200,http://sdm_lab2/Chen%20Q.
http://www.gra.fo/resource/55513929900,http://sdm_lab2/Ye%20J.
http://www.gra.fo/resource/55533844800,http://sdm_lab2/Muhammad%20J.
http://www.gra.fo/resource/55533976400,http://sdm_lab2/Rana%20P.S.
http://www.gra.fo/resource/55568520270,http://sdm_lab2/Xu%20X.
http://www.gra.fo/resource/55581726800,http://sdm_lab2/Liu%20H.
http://www.gra.fo/resource/55616653300,http://sdm_lab2/Priya%20L.
http://www.gra.fo/resource/55650978700,http://sdm_lab2/Yang%20C.
http://www.gra.fo/resource/55664171900,http://sdm_lab2/Fierrez%20J.
http://www.gra.fo/resource/55680778400,http://sdm_lab2/Liu%20C.
http://www.gra.fo/resource/55707571100,http://sdm_lab2/Li%20H.
http://www.gra.fo/resource/55717098300,http://sdm_lab2/Liu%20X.-H.
http://www.gra.fo/resource/55717945400,http://sdm_lab2/Yang%20D.
http://www.gra.fo/resource/55718418200,http://sdm_lab2/Wang%20P.
http://www.gra.fo/resource/55723822100,http://sdm_lab2/Zhu%20Y.
http://www.gra.fo/resource/55725641500,http://sdm_lab2/Xu%20C.
http://www.gra.fo/resource/55752352700,http://sdm_lab2/Yamamoto%20T.
http://www.gra.fo/resource/55774663200,http://sdm_lab2/Chen%20L.
http://www.gra.fo/resource/55778231400,http://sdm_lab2/Ghanbarian%20B.
http://www.gra.fo/resource/55811167300,http://sdm_lab2/Amagata%20D.
